first_name,last_name,party
Scott,Desjarlais,Republican
Scott,Fitzgerald,Republican
Scott,Franklin,Republican
Scott,Perry,Republican
Scott,Peters,Democratic
Scott,Tipton,Republican
Sean,Casten,Democratic
Sean,Duffy,Republican
Sean,Maloney,Democratic
Sean Patrick,Maloney,Democrat
Seth,Moulton,Democratic
Sharice,Davids,Democratic
Sheila,Lee,Democratic
Shelia,Jackson Lee,Democrat
Stacey,Plaskett,Democratic
Stella,Herrell,Republican
Steny,Hoyer,Democratic
Stephanie,Bice,Republican
Stephanie,Murphy,Democratic
Stephen,Lynch,Democratic
Steve,Chabot,Republican
Steve,Cohen,Democratic
Steve,King,Republican
Steve,Scalise,Republican
Steve,Stivers,Republican
Steve,Watkins,Republican
Steve,Womack,Republican
Steven,Horsford,Democratic
Steven,Palazzo,Republican
Susan,Brooks,Republican
Susan,Davis,Democratic
Susan,Wild,Democratic
Susie,Lee,Democratic
Suzan,DelBene,Democrat
Suzan,Delbene,Democratic
Suzanne,Bonamici,Democratic
Sylvia,Garcia,Democratic
Ted,Budd,Republican
Ted,Deutch,Democrat
Ted,Lieu,Democratic
Ted,Yoho,Republican
Teresa,Fernandez,Democrat
Terri,Sewell,Democratic
Theodore,Deutch,Democratic
Thomas,Massie,Republican
Thomas,Suozzi,Democratic
Thomas,Tiffany,Republican
Tim,Burchett,Republican
Tim,Ryan,Democratic
Tim,Walberg,Republican
Tj,Cox,Democratic
Tom,Cole,Republican
Tom,Emmer,Republican
Tom,Graves,Republican
Tom,Halleran,Democratic
Tom,Malinowski,Democratic
Tom,Marino,Republican
Tom,McClintock,Republican
Tom,Mcclintock,Republican
Tom,O'Halleran,Democrat
Tom,Reed,Republican
Tom,Rice,Republican
Tony,Cardenas,Democratic
Tracey,Mann,Republican
Trent,Kelly,Republican
Trey,Hollingsworth,Republican
Troy,Balderson,Republican
Troy,Nehls,Republican
Troy ,Balderson,Republican
Tulsi,Gabbard,Democratic
Val,Demings,Democratic
Nicholas,Taylor,Republican
Vern,Buchanan,Republican
Veronica,Escobar,Democratic
Vicente,Gonzalez,Democratic
Vicky,Hartzler,Republican
Victoria,Spartz,Republican
Virginia,Foxx,Republican
W,Steube,Republican
Walter,Jones,Republican
Warren,Davidson,Republican
Will,Hurd,Republican
William,Keating,Democratic
William,Pascrell,Democratic
William,Thornberry,Republican
William,Timmons,Republican
Wm.,Clay,Democratic
Xochitl,Small,Democratic
Young,Kim,Republican
Yvette,Clarke,Democratic
Zoe,Lofgren,Democratic
